"","Local.authority","year","Universal.Credit","Child.Tax.Credit","affected_population","percent_impacted","children_in_care","children_in_care_1_under","children_in_care_1_4","children_in_care_5_9","children_in_care_10_15","children_in_care_16plus","started_under_1","started_1_to_4","started_5_to_9","started_10_to_15","started_over_16","Anypoint_child_rate","Referrals_rate","under_19_population","under_5_population"
"2160","SURREY",2022,197.272727272727,"94.5454545454545",65846,0.443182853655775,1048,"47","119","172","382","328","63","64","56","93","174","357.9","356",278211,65846
"2161","SURREY",2023,261.818181818182,"83.6363636363636",79667,0.433623138130651,1013,"31","114","164","396","308","51","46","48","115","119","375.8","269.9",280596,65545
"2162","SURREY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"364.7","289.2",NA,NA
"2163","SUTTON",2010,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2164","SUTTON",2011,NA,NA,NA,NA,164,"7","31","28","53","44","14","18","18","29","8",NA,NA,45520,12870
"2165","SUTTON",2012,NA,NA,NA,NA,153,"x","25","31","51","41","7","x","18","25","15",NA,NA,46510,13445
"2166","SUTTON",2013,NA,NA,NA,NA,172,"8","23","39","64","38","16","13","15","25","13","543.6","401.8",47162,13727
"2167","SUTTON",2014,NA,NA,NA,NA,199,"9","28","32","78","52","12","16","13","35","17","505.7","543.7",47737,13900
"2168","SUTTON",2015,NA,NA,NA,NA,228,"8","31","41","78","70","13","23","27","47","29","568.2","560.3",48554,14094
"2169","SUTTON",2016,NA,NA,NA,NA,231,"10","27","48","83","63","15","19","34","42","25","614.3","475.2",49094,14004
"2170","SUTTON",2017,NA,NA,NA,NA,230,"10","24","46","87","63","16","14","20","37","37","598.8","581.7",49582,13770
"2171","SUTTON",2018,60,"100",2521,6.34668782229274,215,"10","12","41","81","71","13","15","20","23","25","561.6","528.8",49986,13543
"2172","SUTTON",2019,140,"210",5058,6.91973111901937,237,"14","13","41","86","83","17","11","23","28","42","527.7","505.5",50571,13367
"2173","SUTTON",2020,350,"210",7633,7.33656491549849,234,"13","28","28","91","74","17","22","12","31","38","565","599.6",51261,13159
"2174","SUTTON",2021,510,"210",9882,7.28597449908925,239,"15","29","30","94","71","22","14","17","27","24","567.8","578.4",51337,12613
"2175","SUTTON",2022,670,"200",12295,7.07604717364782,236,"8","33","36","78","81","9","17","17","32","31","583.9","475.5",52036,12295
"2176","SUTTON",2023,800,"170",14626,6.63202516067278,234,"9","29","32","83","81","10","8","20","31","24","539.7","331.9",52494,11913
"2177","SUTTON",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"579.8","413.4",NA,NA
"2178","SWANSEA",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49797,13084
"2179","SWANSEA",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49859,13328
"2180","SWANSEA",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49735,13275
"2181","SWANSEA",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49817,13162
"2182","SWANSEA",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49885,13151
"2183","SWANSEA",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49887,13042
"2184","SWANSEA",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49674,12593
"2185","SWANSEA",2018,NA,NA,2402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49342,12302
"2186","SWANSEA",2019,NA,NA,4622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48929,12076
"2187","SWANSEA",2020,NA,NA,6869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48761,11783
"2188","SWANSEA",2021,NA,NA,8960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48449,11342
"2189","SWANSEA",2022,NA,NA,11385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49098,11385
"2190","SWANSEA",2023,NA,NA,13921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49763,11322
"2191","SWINDON",2010,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2192","SWINDON",2011,NA,NA,NA,NA,236,"9","21","39","101","65","13","9","12","38","13",NA,NA,49083,14162
"2193","SWINDON",2012,NA,NA,NA,NA,253,"7","39","33","99","75","11","21","14","31","25",NA,NA,50011,14730
"2194","SWINDON",2013,NA,NA,NA,NA,250,"12","30","37","98","73","19","16","21","49","24","416.7","344.1",50755,14941
"2195","SWINDON",2014,NA,NA,NA,NA,252,"8","25","44","105","70","20","17","17","51","21","522.5","467.9",51449,15154
"2196","SWINDON",2015,NA,NA,NA,NA,252,"9","32","47","90","74","16","29","24","39","19","706.1","542.5",51978,15177
"2197","SWINDON",2016,NA,NA,NA,NA,292,"13","44","48","114","73","25","36","30","69","19","771.9","690.4",52411,15035
"2198","SWINDON",2017,NA,NA,NA,NA,327,"18","50","69","124","66","29","40","38","54","18","764.1","606.2",53016,14806
"2199","SWINDON",2018,50,"150",2763,7.23850886717336,360,"21","61","76","121","81","30","40","33","47","28","914.5","719.2",53224,14476
"2200","SWINDON",2019,150,"300",5418,8.30564784053156,349,"15","54","77","111","92","23","33","24","39","18","1002.4","638.6",53492,14161
"2201","SWINDON",2020,410,"NaN",8007,NA,301,"18","34","60","114","75","24","24","14","34","11","600.1","593.2",53689,13793
"2202","SWINDON",2021,630,"310",10648,8.82794891059354,304,"17","43","64","117","63","24","31","16","31","11","514","539.6",53906,13556
"2203","SWINDON",2022,790,"290",13398,8.06090461262875,332,"13","44","61","127","87","18","21","13","40","44","606.6","736.9",54560,13398
"2204","SWINDON",2023,1040,"240",16349,7.82922502905376,338,"8","28","72","128","102","15","23","26","39","46","590.7","477.6",55661,13370
"2205","SWINDON",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"604.3","525.3",NA,NA
"2206","TAMESIDE",2010,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2207","TAMESIDE",2011,NA,NA,NA,NA,373,"20","87","66","150","50","38","37","35","46","x",NA,NA,51330,14517
"2208","TAMESIDE",2012,NA,NA,NA,NA,390,"21","88","70","161","50","36","39","16","52","9",NA,NA,51373,14852
"2209","TAMESIDE",2013,NA,NA,NA,NA,390,"14","68","81","158","69","25","23","31","47","9","593.2","481.8",51531,14909
"2210","TAMESIDE",2014,NA,NA,NA,NA,423,"20","72","90","163","78","35","37","27","36","25","452.1","325.9",51716,15021
"2211","TAMESIDE",2015,NA,NA,NA,NA,417,"18","58","88","184","69","23","26","26","49","14","517.4","331.8",52046,14878
"2212","TAMESIDE",2016,NA,NA,NA,NA,427,"19","61","86","176","85","30","25","27","26","18","406.2","298.1",52228,14685
"2213","TAMESIDE",2017,NA,NA,NA,NA,516,"23","71","113","204","105","32","38","60","61","24","732.6","707.6",52534,14510
"2214","TAMESIDE",2018,0,"340",2784,12.2126436781609,617,"25","90","140","246","116","36","50","52","74","32","810","898.3",52953,14315
"2215","TAMESIDE",2019,100,"640",5559,13.3117467170354,664,"27","106","151","272","108","36","55","61","75","22","833.8","720.1",53379,14144
"2216","TAMESIDE",2020,300,"660",8232,11.6618075801749,704,"40","92","153","285","134","52","45","51","70","43","709.1","515.5",53642,13938
"2217","TAMESIDE",2021,450,"640",10736,10.1527570789866,682,"29","101","137","268","147","43","46","32","47","27","715.4","524.9",53654,13539
"2218","TAMESIDE",2022,1210,"580",13384,13.3741781231321,666,"25","88","136","269","148","35","33","38","51","30","825.2","691.1",54170,13384
"2219","TAMESIDE",2023,1490,"530",16036,12.5966575205787,656,"28","94","132","271","131","39","45","32","50","25","706.4","648.6",54705,13205
"2220","TAMESIDE",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"741.9","729.8",NA,NA
"2221","TELFORD AND WREKIN",2010,NA,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222","TELFORD AND WREKIN",2011,NA,NA,NA,NA,269,"14","48","57","114","36","22","22","17","30","x",NA,NA,41239,11426
"2223","TELFORD AND WREKIN",2012,NA,NA,NA,NA,300,"27","51","64","114","44","36","38","31","40","x",NA,NA,41326,11432
"2224","TELFORD AND WREKIN",2013,NA,NA,NA,NA,320,"21","56","61","119","63","31","22","19","36","6","647.2","774",41214,11383
"2225","TELFORD AND WREKIN",2014,NA,NA,NA,NA,308,"24","53","60","116","55","37","21","13","35","x","741.3","737.7",41193,11346
"2226","TELFORD AND WREKIN",2015,NA,NA,NA,NA,293,"26","45","65","115","42","36","24","x","23","x","523.3","354.8",41395,11176
"2227","TELFORD AND WREKIN",2016,NA,NA,NA,NA,299,"16","52","69","124","38","23","20","27","33","9","538.2","521",41563,11031
"2228","TELFORD AND WREKIN",2017,NA,NA,NA,NA,379,"23","82","87","146","41","44","44","40","41","7","716.9","759.1",41947,10933
"2229","TELFORD AND WREKIN",2018,0,"330",2053,16.0740379931807,370,"25","73","78","151","43","29","24","c","27","c","676.7","501.3",42418,10877
"2230","TELFORD AND WREKIN",2019,60,"640",4132,16.9409486931268,388,"27","72","79","141","69","35","22","22","23","8","656.4","562.9",42683,10687
"2231","TELFORD AND WREKIN",2020,440,"610",6201,16.9327527818094,403,"21","89","78","143","72","34","26","c","23","c","683.4","509.5",43042,10599
"2232","TELFORD AND WREKIN",2021,750,"520",8292,15.3159671972986,425,"26","86","90","161","62","31","23","31","34","6","544.9","375.1",43495,10507
"2233","TELFORD AND WREKIN",2022,1010,"460",10653,13.7989298789074,423,"27","83","86","160","67","36","31","17","32","10","603.3","447.3",44568,10653
"2234","TELFORD AND WREKIN",2023,1320,"380",12994,13.0829613667847,453,"11","86","83","194","79","21","18","14","62","16","673.2","531",45407,10672
"2235","TELFORD AND WREKIN",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600.3","345.8",NA,NA
"2236","THURROCK",2010,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2237","THURROCK",2011,NA,NA,NA,NA,212,"7","36","36","83","50","14","23","23","40","18",NA,NA,40502,12097
"2238","THURROCK",2012,NA,NA,NA,NA,239,"15","28","45","96","55","22","21","29","51","18",NA,NA,41080,12207
"2239","THURROCK",2013,NA,NA,NA,NA,264,"14","38","49","112","51","19","22","24","47","15","719.2","447.9",41464,12088
"2240","THURROCK",2014,NA,NA,NA,NA,284,"12","43","49","119","61","19","20","25","38","24","706.4","490.3",42207,12248
"2241","THURROCK",2015,NA,NA,NA,NA,279,"11","24","47","117","80","17","13","15","31","48","650","511.5",43035,12525
"2242","THURROCK",2016,NA,NA,NA,NA,334,"11","25","52","127","119","18","27","28","54","65","694.9","591.8",43729,12589
"2243","THURROCK",2017,NA,NA,NA,NA,345,"14","22","52","137","120","22","23","26","67","61","705.9","492.9",44538,12608
"2244","THURROCK",2018,10,"200",2503,8.3899320815022,299,"16","30","36","131","86","28","24","15","59","61","684.2","501.1",45114,12682
"2245","THURROCK",2019,100,"380",4999,9.60192038407681,290,"14","23","39","128","86","20","12","23","47","99","702.5","655.2",45664,12743
"2246","THURROCK",2020,390,"390",7469,10.4431650823403,297,"11","43","47","121","75","22","45","32","48","87","694.5","646.2",46198,12647
"2247","THURROCK",2021,650,"360",9651,10.4652367630297,298,"18","30","52","124","74","27","16","24","33","47","652.2","587.2",46098,12169
"2248","THURROCK",2022,870,"330",12209,9.82881480874764,294,"12","30","48","121","83","16","14","14","36","41","643.4","562",46899,12209
"2249","THURROCK",2023,1120,"290",14834,9.50519077794256,292,"10","24","40","110","108","13","9","10","29","34","513.5","492.5",47664,12187
"2250","THURROCK",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"541.4","484.7",NA,NA
"2251","TORBAY",2010,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252","TORBAY",2011,NA,NA,NA,NA,218,"14","33","38","86","47","20","14","18","37","20",NA,NA,26388,6799
"2253","TORBAY",2012,NA,NA,NA,NA,248,"13","49","52","86","47","23","25","22","41","21",NA,NA,26424,6925
"2254","TORBAY",2013,NA,NA,NA,NA,301,"16","65","75","103","42","25","40","35","41","11","981.9","790.2",26564,7040
"2255","TORBAY",2014,NA,NA,NA,NA,314,"15","47","78","125","49","29","37","32","55","12","1158.1","962.6",26759,7210
"2256","TORBAY",2015,NA,NA,NA,NA,305,"18","41","71","116","59","26","32","22","37","7","1032.6","846.9",26938,7270
"2257","TORBAY",2016,NA,NA,NA,NA,279,"11","32","69","115","52","22","23","28","17","6","922.2","781.8",27058,7250
"2258","TORBAY",2017,NA,NA,NA,NA,284,"17","32","60","125","50","31","25","20","25","13","914.9","631.8",27081,7060
"2259","TORBAY",2018,0,"130",1250,10.4,328,"29","40","59","142","58","43","32","22","31","9","862.7","705.6",27025,6795
"2260","TORBAY",2019,40,"290",2495,13.2264529058116,361,"13","54","63","167","64","24","27","29","41","26","857.4","690.5",26893,6575
"2261","TORBAY",2020,230,"300",3630,14.6005509641873,354,"20","48","59","156","71","30","33","26","30","16","927.6","729.7",26759,6292
"2262","TORBAY",2021,380,"260",4748,13.4793597304128,319,"15","45","59","137","63","20","15","c","21","c","1150.2","882.5",26596,6003
"2263","TORBAY",2022,480,"230",5872,12.091280653951,299,"15","38","52","134","60","20","17","15","25","14","1131","827.6",26463,5872
"2264","TORBAY",2023,580,"200",6979,11.1763863017624,314,"14","41","57","125","77","20","23","18","20","31","1053.5","848.6",26383,5666
"2265","TORBAY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1025.8","760.6",NA,NA
"2266","TORFAEN",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21034,5374
"2267","TORFAEN",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20900,5404
"2268","TORFAEN",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20580,5417
"2269","TORFAEN",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20361,5410
"2270","TORFAEN",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20192,5300
"2271","TORFAEN",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19964,5200
"2272","TORFAEN",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19840,5159
"2273","TORFAEN",2018,NA,NA,971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19942,5105
"2274","TORFAEN",2019,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20081,5121
"2275","TORFAEN",2020,NA,NA,2947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20170,5099
"2276","TORFAEN",2021,NA,NA,3892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20151,4964
"2277","TORFAEN",2022,NA,NA,4932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20323,4932
"2278","TORFAEN",2023,NA,NA,5949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20521,4901
"2279","TOWER HAMLETS",2010,NA,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280","TOWER HAMLETS",2011,NA,NA,NA,NA,327,"20","47","44","138","77","27","23","20","64","24",NA,NA,58102,18826
"2281","TOWER HAMLETS",2012,NA,NA,NA,NA,293,"19","42","31","121","80","31","20","15","75","27",NA,NA,60139,19681
"2282","TOWER HAMLETS",2013,NA,NA,NA,NA,303,"17","36","31","123","96","26","14","20","75","34","688.8","406.5",62049,20592
"2283","TOWER HAMLETS",2014,NA,NA,NA,NA,323,"20","34","43","113","113","28","23","29","56","70","752.1","431.3",63264,20678
"2284","TOWER HAMLETS",2015,NA,NA,NA,NA,277,"13","16","35","107","106","19","13","18","62","52","728.6","464",64025,20628
"2285","TOWER HAMLETS",2016,NA,NA,NA,NA,304,"19","28","36","114","107","21","33","31","83","63","731.2","548.9",64832,20643
"2286","TOWER HAMLETS",2017,NA,NA,NA,NA,333,"16","27","48","122","120","20","28","35","80","59","635.8","426.3",65600,20410
"2287","TOWER HAMLETS",2018,50,"580",4423,14.2437259778431,286,"16","23","38","110","99","23","15","14","47","38","848.2","841.8",66834,20360
"2288","TOWER HAMLETS",2019,190,"1170",8355,16.2776780371035,329,"15","32","48","120","114","25","24","33","47","79","1045","839",67342,20041
"2289","TOWER HAMLETS",2020,700,"1450",12069,17.814234816472,307,"14","34","49","111","99","19","14","23","34","56","1040.2","803.7",67771,19764
"2290","TOWER HAMLETS",2021,1400,"1450",15297,18.6311041380663,305,"19","36","43","106","101","23","9","16","28","55","896.4","810.7",67959,19071
"2291","TOWER HAMLETS",2022,1830,"1480",18893,17.5197162970412,332,"20","26","44","95","147","21","14","13","43","90","944.2","919.5",68305,18893
"2292","TOWER HAMLETS",2023,2530,"1390",21820,17.9651695692026,301,"10","38","47","92","114","18","15","17","30","54","782.3","627.5",66920,18519
"2293","TOWER HAMLETS",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"787.4","678.3",NA,NA
"2294","TRAFFORD",2010,NA,NA,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295","TRAFFORD",2011,NA,NA,NA,NA,264,"12","40","63","86","62","16","11","17","22","15",NA,NA,54639,14888
"2296","TRAFFORD",2012,NA,NA,NA,NA,278,"12","49","62","92","62","18","25","18","39","16",NA,NA,54987,15033
"2297","TRAFFORD",2013,NA,NA,NA,NA,290,"11","48","73","103","55","14","22","26","46","18","425.7","490.7",55401,14973
"2298","TRAFFORD",2014,NA,NA,NA,NA,316,"12","51","82","108","63","20","31","26","41","15","507.5","466.6",55780,14980
"2299","TRAFFORD",2015,NA,NA,NA,NA,334,"6","56","82","135","55","7","17","27","49","12","492.6","386.7",56191,14865
"2300","TRAFFORD",2016,NA,NA,NA,NA,329,"8","42","87","140","52","11","13","21","36","17","561.3","464.7",56776,14754
"2301","TRAFFORD",2017,NA,NA,NA,NA,385,"12","53","94","158","68","18","29","23","41","27","510.7","401.9",57257,14671
"2302","TRAFFORD",2018,50,"160",2642,7.94852384557154,383,"15","43","81","168","76","20","17","27","47","18","504.2","404.7",57627,14487
"2303","TRAFFORD",2019,140,"290",5264,8.16869300911854,416,"19","60","81","187","69","27","25","38","50","17","563.7","443.4",57675,14123
"2304","TRAFFORD",2020,310,"330",7846,8.15702268671935,377,"10","57","78","169","63","12","20","20","34","13","581.2","513",57854,13899
"2305","TRAFFORD",2021,470,"330",10340,7.73694390715667,389,"11","54","81","159","84","14","18","26","39","20","480.8","366.6",57470,13304
"2306","TRAFFORD",2022,580,"310",13038,6.82620033747507,361,"10","43","69","162","77","14","8","18","34","17","498.7","389.8",58304,13038
"2307","TRAFFORD",2023,720,"300",15751,6.47577931559901,350,"10","38","62","164","76","13","9","23","44","20","485.2","356.9",58750,12749
"2308","TRAFFORD",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"454.3","337.1",NA,NA
"2309","VALE OF GLAMORGAN",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29007,7374
"2310","VALE OF GLAMORGAN",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28789,7396
"2311","VALE OF GLAMORGAN",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28536,7279
"2312","VALE OF GLAMORGAN",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28468,7215
"2313","VALE OF GLAMORGAN",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28346,7116
"2314","VALE OF GLAMORGAN",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28434,7069
"2315","VALE OF GLAMORGAN",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28609,7091
"2316","VALE OF GLAMORGAN",2018,NA,NA,1306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28716,7069
"2317","VALE OF GLAMORGAN",2019,NA,NA,2588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28688,7003
"2318","VALE OF GLAMORGAN",2020,NA,NA,3862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28869,6875
"2319","VALE OF GLAMORGAN",2021,NA,NA,5239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29042,6796
"2320","VALE OF GLAMORGAN",2022,NA,NA,6692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29463,6692
"2321","VALE OF GLAMORGAN",2023,NA,NA,8037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29525,6522
"2322","WAKEFIELD",2010,NA,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2323","WAKEFIELD",2011,NA,NA,NA,NA,397,"25","90","78","137","67","34","56","34","41","12",NA,NA,72529,19666
"2324","WAKEFIELD",2012,NA,NA,NA,NA,433,"29","110","98","138","58","40","53","28","45","x",NA,NA,72544,19972
"2325","WAKEFIELD",2013,NA,NA,NA,NA,446,"38","117","90","137","64","52","37","17","31","8","907.8","688.5",72780,20316
"2326","WAKEFIELD",2014,NA,NA,NA,NA,492,"34","123","110","155","70","52","59","45","38","18","1122.4","1377",73064,20421
"2327","WAKEFIELD",2015,NA,NA,NA,NA,497,"35","113","122","154","73","54","51","36","36","28","1046.9","1864.6",73370,20407
"2328","WAKEFIELD",2016,NA,NA,NA,NA,479,"35","92","105","160","87","51","27","21","35","32","741.4","1757.7",73888,20448
"2329","WAKEFIELD",2017,NA,NA,NA,NA,519,"31","114","104","163","107","40","42","23","41","29","547.4","572.6",74707,20469
"2330","WAKEFIELD",2018,0,"440",4049,10.8668807112867,557,"47","101","112","188","109","58","32","38","60","35","719","634.3",75603,20495
"2331","WAKEFIELD",2019,80,"900",7941,12.3410149855182,601,"47","127","110","214","103","60","65","36","55","37","892","831.3",76067,20288
"2332","WAKEFIELD",2020,620,"880",11987,12.5135563527154,635,"47","146","110","241","91","64","58","41","72","25","1035.1","1036.6",76683,20296
"2333","WAKEFIELD",2021,1100,"820",15834,12.1258052292535,636,"31","129","135","240","101","53","54","46","39","28","809.1","724",77132,19926
"2334","WAKEFIELD",2022,1480,"770",20018,11.2398841043061,650,"56","95","164","224","111","67","50","54","38","28","705.6","603.3",78563,20018
"2335","WAKEFIELD",2023,1940,"640",24261,10.6343514282181,635,"52","99","150","224","110","67","52","46","42","19","641.3","587.1",79777,20097
"2336","WAKEFIELD",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"580.5","454.7",NA,NA
"2337","WALSALL",2010,NA,NA,NA,NA,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2338","WALSALL",2011,NA,NA,NA,NA,518,"36","106","125","170","81","43","33","29","36","6",NA,NA,66951,18328
"2339","WALSALL",2012,NA,NA,NA,NA,489,"22","97","131","167","72","26","38","30","33","11",NA,NA,66986,18541
"2340","WALSALL",2013,NA,NA,NA,NA,576,"42","124","156","176","78","57","65","53","56","22","667.7","696.4",67252,18657
"2341","WALSALL",2014,NA,NA,NA,NA,627,"46","146","165","202","68","58","51","51","53","11","1034.3","1026.1",67884,18786
"2342","WALSALL",2015,NA,NA,NA,NA,607,"33","140","161","202","71","42","55","36","43","16","1027.8","956.5",68452,18960
"2343","WALSALL",2016,NA,NA,NA,NA,622,"29","144","155","212","82","41","53","33","37","15","614.8","600.1",69509,19172
"2344","WALSALL",2017,NA,NA,NA,NA,648,"45","125","152","235","91","56","33","24","42","28","783.9","694.4",70538,19294
"2345","WALSALL",2018,0,"570",3820,14.9214659685864,636,"42","113","144","244","93","53","36","35","55","29","668.4","779.9",71263,19235
"2346","WALSALL",2019,120,"1150",7429,17.0951675864854,614,"21","108","132","257","96","34","27","19","55","18","723.1","757",71832,19035
"2347","WALSALL",2020,720,"1180",11069,17.1650555605746,669,"46","119","141","250","113","58","51","42","66","20","558.2","637.6",71895,18729
"2348","WALSALL",2021,1200,"1140",14385,16.266944734098,670,"31","130","145","247","117","43","38","24","40","20","454.7","493.1",71756,18103
"2349","WALSALL",2022,1780,"1080",18135,15.7706093189964,661,"34","131","133","245","118","42","29","28","53","28","491.3","503.8",72619,18135
"2350","WALSALL",2023,2280,"960",22086,14.6699266503667,650,"25","120","139","221","145","38","21","26","48","30","482.3","499.8",73750,18192
"2351","WALSALL",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"509","447.9",NA,NA
"2352","WALTHAM FOREST",2010,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353","WALTHAM FOREST",2011,NA,NA,NA,NA,310,"13","42","58","112","84","17","20","21","43","24",NA,NA,64814,20944
"2354","WALTHAM FOREST",2012,NA,NA,NA,NA,312,"21","41","55","102","93","29","27","23","36","33",NA,NA,65902,21494
"2355","WALTHAM FOREST",2013,NA,NA,NA,NA,280,"12","47","47","97","77","28","17","11","42","22","568.2","540.9",66800,21760
"2356","WALTHAM FOREST",2014,NA,NA,NA,NA,263,"13","27","37","106","80","19","22","22","52","45","725.4","556.4",66824,21508
"2357","WALTHAM FOREST",2015,NA,NA,NA,NA,268,"13","25","33","108","89","22","14","21","55","45","750.6","556",67158,21457
"2358","WALTHAM FOREST",2016,NA,NA,NA,NA,277,"13","26","29","126","83","25","14","24","69","47","757.2","518.9",67613,21497
"2359","WALTHAM FOREST",2017,NA,NA,NA,NA,281,"15","18","22","120","106","24","25","15","58","49","592.9","557.4",67730,21142
"2360","WALTHAM FOREST",2018,0,"350",4397,7.959972708665,296,"16","23","24","113","120","21","11","18","51","46","611.1","500.1",67500,20661
"2361","WALTHAM FOREST",2019,60,"730",8537,9.25383624223966,285,"16","37","23","108","101","23","17","14","38","50","572.6","547.4",67263,20378
"2362","WALTHAM FOREST",2020,390,"830",12338,9.88815042956719,304,"19","43","29","123","90","25","18","26","58","41","637.8","647.8",66634,19929
